Date,Open,High,Low,Close,Volume
"Wednesday, June 29, 1994","1,473.24","1,473.24","1,473.24","1,473.24",0
"Tuesday, June 28, 1994","1,457.25","1,457.25","1,457.25","1,457.25",0
"Monday, June 27, 1994","1,452.08","1,452.08","1,452.08","1,452.08",0
"Friday, June 24, 1994","1,445.85","1,445.85","1,445.85","1,445.85",0
"Thursday, June 23, 1994","1,476.35","1,476.35","1,476.35","1,476.35",0
"Wednesday, June 22, 1994","1,485.05","1,485.05","1,485.05","1,485.05",0
"Tuesday, June 21, 1994","1,478.03","1,478.03","1,478.03","1,478.03",0
"Monday, June 20, 1994","1,491.12","1,491.12","1,491.12","1,491.12",0
"Friday, June 17, 1994","1,515.01","1,515.01","1,515.01","1,515.01",0
"Thursday, June 16, 1994","1,518.30","1,518.30","1,518.30","1,518.30",0
"Wednesday, June 15, 1994","1,526.59","1,526.59","1,526.59","1,526.59",0
"Tuesday, June 14, 1994","1,526.23","1,526.23","1,526.23","1,526.23",0
"Monday, June 13, 1994","1,519.65","1,519.65","1,519.65","1,519.65",0
"Friday, June 10, 1994","1,535.01","1,535.01","1,535.01","1,535.01",0
"Thursday, June 09, 1994","1,524.57","1,524.57","1,524.57","1,524.57",0
"Wednesday, June 08, 1994","1,528.04","1,528.04","1,528.04","1,528.04",0
"Tuesday, June 07, 1994","1,514.10","1,514.10","1,514.10","1,514.10",0
"Monday, June 06, 1994","1,515.38","1,515.38","1,515.38","1,515.38",0
"Friday, June 03, 1994","1,509.98","1,509.98","1,509.98","1,509.98",0
"Thursday, June 02, 1994","1,503.89","1,503.89","1,503.89","1,503.89",0
"Wednesday, June 01, 1994","1,484.63","1,484.63","1,484.63","1,484.63",0
"Tuesday, May 31, 1994","1,501.22","1,501.22","1,501.22","1,501.22",0
"Friday, May 27, 1994","1,500.86","1,500.86","1,500.86","1,500.86",0
"Thursday, May 26, 1994","1,524.54","1,524.54","1,524.54","1,524.54",0
"Wednesday, May 25, 1994","1,526.62","1,526.62","1,526.62","1,526.62",0
"Tuesday, May 24, 1994","1,557.62","1,557.62","1,557.62","1,557.62",0
